timestamp,ax_g,ay_g,az_g,temp_C
1763505961.028474808,0.038,1.031,0.032,36.85
1763505961.032114267,0.045,1.056,0.049,36.85
1763505961.032114267,-0.088,1.004,0.037,36.87
1763505961.033366442,-0.045,0.999,0.080,36.97
1763505961.033366442,-0.125,0.931,0.006,36.95
1763505961.122953653,-0.112,0.974,-0.001,36.95
1763505961.231493711,0.006,1.027,-0.033,36.83
1763505961.321577549,0.015,1.073,0.135,36.79
1763505961.428020000,-0.046,0.992,0.072,36.79
1763505961.529997826,-0.048,1.003,0.059,36.85
1763505961.634214640,-0.043,0.998,0.076,36.81
1763505961.730060816,-0.021,1.053,0.107,36.81
1763505961.825758219,-0.070,1.001,0.058,36.81
1763505961.931110144,0.014,0.983,0.073,36.77
1763505962.035080910,-0.018,1.015,0.051,36.97
1763505962.134856939,-0.077,0.995,0.071,36.97
1763505962.231523752,0.021,1.046,0.062,37.01
1763505962.339682341,-0.046,1.005,0.072,37.07
1763505962.436866283,0.003,1.067,0.144,37.03
1763505962.540998936,-0.128,0.996,0.112,37.03
1763505962.658570051,-0.008,1.000,0.010,36.95
1763505962.734118700,-0.066,0.976,-0.016,36.99
1763505962.838853359,-0.063,0.948,0.037,36.99
1763505962.941667795,-0.052,1.054,0.068,36.93
1763505963.038232088,-0.092,0.984,0.141,36.79
1763505963.142453671,-0.191,0.865,0.022,36.79
1763505963.239877224,-0.022,0.994,0.039,36.77
1763505963.340758324,-0.069,0.973,0.106,37.03
1763505963.450696707,-0.061,1.001,0.103,37.05
1763505963.548019171,0.032,1.013,0.017,37.05
1763505963.644134760,0.075,1.054,0.060,36.91
1763505963.753353834,-0.031,1.049,0.055,37.03
1763505963.844864368,-0.045,0.957,0.063,37.03
1763505963.948159933,-0.037,1.004,0.077,36.91
1763505964.050639868,0.026,1.033,0.108,36.95
1763505964.158596039,-0.106,0.988,0.076,36.95
1763505964.256126404,-0.070,1.002,0.059,36.95
1763505964.359732389,-0.071,0.986,0.035,37.05
1763505964.456041098,-0.066,1.021,0.073,36.97
1763505964.552536249,-0.064,1.029,0.081,36.97
1763505964.655429363,-0.050,0.992,0.076,36.83
1763505964.758116245,-0.014,0.985,0.054,36.71
1763505964.856999874,-0.117,0.970,0.024,36.81
1763505964.957581997,-0.063,1.016,0.101,36.81
1763505965.067333221,-0.059,1.031,0.150,36.79
1763505965.158065319,-0.033,1.002,0.117,36.83
1763505965.267101765,0.024,1.040,0.055,36.83
1763505965.364774466,-0.091,1.033,0.150,36.91
1763505965.461532354,-0.027,1.015,0.071,37.05
1763505965.563194275,-0.097,0.986,0.077,37.07
1763505965.667262316,-0.016,1.035,0.113,37.07
1763505965.764310360,-0.016,1.013,0.080,37.07
1763505965.866804123,-0.061,0.980,0.039,37.01
1763505965.976265192,-0.074,0.983,0.043,37.01
1763505966.069078445,0.030,1.014,0.038,36.99
1763505966.167578936,-0.084,1.012,0.058,36.89
1763505966.273244858,-0.098,0.978,0.020,36.89
1763505966.371620178,-0.063,0.976,0.071,36.93
