timestamp,ax_g,ay_g,az_g,temp_C
1762800115.059,-0.072,-0.995,0.02,24.91
1762800115.061,-0.036,-0.994,-0.027,24.91
1762800115.063,-0.119,-1.019,0.011,24.91
1762800115.065,-0.041,-1.029,0.038,24.91
1762800115.067,0.024,-0.947,-0.063,24.91
1762800115.069,0.022,-0.963,-0.082,24.91
1762800115.071,0.002,-0.992,-0.024,24.91
1762800115.073,-0.007,-0.996,0.077,24.91
1762800115.075,-0.101,-1.054,0.095,24.91
1762800115.077,-0.011,-0.975,0.036,24.91
1762800115.079,0.061,-0.978,0.031,24.91
1762800115.081,0.037,-1.02,0.024,24.91
1762800115.083,0.045,-1.005,-0.045,24.91
1762800115.085,-0.064,-0.974,0.03,24.91
1762800115.0870001,-0.051,-1.015,-0.009,24.91
1762800115.089,-0.018,-0.967,-0.019,24.91
1762800115.091,-0.0,-0.989,0.018,24.91
1762800115.093,-0.018,-0.949,0.052,24.91
1762800115.095,-0.012,-1.013,0.009,24.91
1762800115.0970001,-0.012,-1.003,-0.048,24.91
1762800115.099,-0.079,-1.022,-0.089,24.91
1762800115.101,-0.065,-0.984,-0.106,24.91
1762800115.103,-0.024,-1.02,0.047,24.91
1762800115.105,-0.026,-0.973,0.084,24.91
1762800115.107,0.048,-0.985,-0.012,24.91
1762800115.109,0.032,-0.991,0.056,24.91
1762800115.111,-0.034,-1.012,0.031,24.91
1762800115.113,-0.084,-0.956,-0.044,24.91
1762800115.115,-0.116,-0.995,-0.077,24.91
1762800115.117,-0.039,-0.998,-0.09,24.91
1762800115.119,0.032,-0.976,-0.022,24.79
1762800115.121,-0.023,-1.042,0.029,24.79
1762800115.123,-0.017,-0.998,-0.018,24.79
1762800115.125,-0.058,-1.002,-0.045,24.79
1762800115.127,-0.051,-0.992,-0.019,24.79
1762800115.129,-0.059,-1.018,0.024,24.79
1762800115.131,0.015,-0.972,0.024,24.79
1762800115.133,0.036,-0.981,-0.054,24.79
1762800115.135,-0.048,-1.019,-0.04,24.79
1762800115.137,-0.046,-1.058,-0.008,24.79
