timestamp,ax_g,ay_g,az_g,temp_C
1763076883,-0.58,0.218,0.789,24.41
1763076883,-0.584,0.222,0.785,24.41
1763076883,-0.579,0.216,0.792,24.41
1763076883,-0.58,0.219,0.786,24.41
1763076883,-0.583,0.216,0.796,24.41
1763076883,-0.582,0.216,0.794,24.41
1763076883,-0.584,0.218,0.795,24.41
1763076883,-0.584,0.218,0.788,24.41
1763076883,-0.584,0.219,0.786,24.41
1763076883,-0.585,0.218,0.79,24.41
1763076883,-0.584,0.218,0.786,24.41
1763076883,-0.583,0.216,0.797,24.41
1763076883,-0.582,0.218,0.792,24.41
1763076883,-0.582,0.217,0.791,24.41
1763076883,-0.582,0.218,0.794,24.41
1763076883,-0.582,0.222,0.786,24.41
1763076883,-0.581,0.22,0.789,24.41
1763076883,-0.58,0.221,0.788,24.41
1763076883,-0.581,0.219,0.79,24.41
1763076883,-0.58,0.215,0.794,24.41
1763076883,-0.582,0.22,0.787,24.41
1763076883,-0.582,0.217,0.791,24.41
1763076883,-0.582,0.216,0.789,24.41
1763076883,-0.585,0.216,0.791,24.41
1763076883,-0.584,0.215,0.793,24.41
1763076883,-0.584,0.218,0.788,24.41
1763076883,-0.583,0.22,0.788,24.41
1763076883,-0.583,0.218,0.79,24.41
1763076883,-0.582,0.218,0.794,24.41
1763076883,-0.582,0.218,0.795,24.41
1763076883,-0.583,0.217,0.791,24.45
1763076883,-0.58,0.221,0.787,24.45
1763076883,-0.579,0.219,0.784,24.45
1763076883,-0.581,0.217,0.79,24.45
1763076883,-0.585,0.219,0.793,24.45
1763076883,-0.581,0.217,0.785,24.45
1763076883,-0.582,0.216,0.791,24.45
1763076883,-0.586,0.218,0.787,24.45
1763076883,-0.581,0.218,0.795,24.45
1763076883,-0.584,0.218,0.789,24.45
1763076883,-0.584,0.22,0.784,24.45
1763076883,-0.582,0.217,0.788,24.45
1763076883,-0.583,0.22,0.785,24.45
1763076883,-0.582,0.216,0.797,24.45
1763076883,-0.584,0.218,0.796,24.45
1763076883,-0.583,0.22,0.789,24.45
1763076883,-0.582,0.217,0.789,24.45
1763076883,-0.585,0.219,0.792,24.45
1763076883,-0.581,0.217,0.789,24.45
1763076883,-0.581,0.218,0.784,24.45
1763076883,-0.582,0.218,0.788,24.45
1763076883,-0.583,0.218,0.789,24.45
1763076883,-0.583,0.218,0.792,24.45
1763076883,-0.582,0.218,0.79,24.45
1763076883,-0.585,0.216,0.791,24.45
1763076883,-0.584,0.217,0.797,24.45
1763076883,-0.583,0.218,0.788,24.45
1763076883,-0.583,0.216,0.792,24.45
1763076883,-0.582,0.217,0.789,24.45
1763076883,-0.584,0.218,0.797,24.45
1763076884,-0.584,0.22,0.788,24.45
1763076884,-0.583,0.219,0.786,24.45
1763076884,-0.579,0.218,0.791,24.45
1763076884,-0.582,0.217,0.789,24.45
1763076884,-0.582,0.219,0.798,24.45
1763076884,-0.579,0.219,0.785,24.45
1763076884,-0.584,0.216,0.789,24.45
1763076884,-0.581,0.22,0.783,24.45
1763076884,-0.581,0.219,0.786,24.45
1763076884,-0.583,0.219,0.792,24.45
1763076884,-0.585,0.218,0.791,24.45
1763076884,-0.584,0.217,0.796,24.45
1763076884,-0.584,0.219,0.789,24.45
1763076884,-0.583,0.218,0.791,24.45
1763076884,-0.583,0.22,0.789,24.45
1763076884,-0.581,0.219,0.784,24.45
1763076884,-0.581,0.22,0.791,24.45
1763076884,-0.583,0.218,0.794,24.45
1763076884,-0.581,0.221,0.789,24.37
1763076884,-0.582,0.218,0.787,24.37
1763076884,-0.584,0.216,0.792,24.37
1763076884,-0.582,0.219,0.792,24.37
1763076884,-0.584,0.216,0.789,24.37
1763076884,-0.583,0.218,0.782,24.37
1763076884,-0.584,0.217,0.794,24.37
1763076884,-0.583,0.216,0.788,24.37
1763076884,-0.585,0.217,0.789,24.37
1763076884,-0.585,0.216,0.795,24.37
1763076884,-0.584,0.216,0.79,24.37
1763076884,-0.586,0.218,0.793,24.37
1763076884,-0.585,0.218,0.793,24.37
1763076884,-0.585,0.218,0.793,24.37
1763076884,-0.584,0.217,0.791,24.37
1763076884,-0.58,0.218,0.782,24.37
1763076884,-0.582,0.218,0.791,24.37
1763076884,-0.581,0.217,0.79,24.37
1763076884,-0.579,0.218,0.791,24.37
1763076884,-0.581,0.22,0.788,24.37
1763076884,-0.581,0.217,0.789,24.37
1763076884,-0.582,0.219,0.789,24.37
1763076884,-0.582,0.219,0.786,24.37
1763076884,-0.582,0.218,0.79,24.37
1763076884,-0.582,0.22,0.789,24.37
1763076884,-0.583,0.217,0.795,24.37
1763076884,-0.585,0.218,0.793,24.37
1763076884,-0.583,0.217,0.79,24.37
1763076884,-0.585,0.218,0.79,24.37
1763076884,-0.583,0.218,0.791,24.37
1763076884,-0.582,0.219,0.789,24.37
1763076884,-0.582,0.219,0.789,24.37
1763076884,-0.582,0.22,0.787,24.37
1763076884,-0.582,0.217,0.791,24.37
1763076884,-0.58,0.219,0.787,24.37
1763076884,-0.58,0.218,0.788,24.37
1763076884,-0.58,0.218,0.791,24.37
1763076884,-0.582,0.218,0.788,24.37
1763076884,-0.581,0.219,0.784,24.37
1763076884,-0.585,0.218,0.791,24.37
1763076884,-0.585,0.219,0.789,24.37
1763076884,-0.585,0.219,0.792,24.37
1763076884,-0.585,0.218,0.793,24.37
1763076884,-0.587,0.216,0.796,24.37
1763076884,-0.585,0.217,0.793,24.37
1763076884,-0.585,0.215,0.792,24.37
1763076884,-0.584,0.216,0.788,24.37
1763076884,-0.581,0.218,0.787,24.37
1763076884,-0.583,0.217,0.786,24.37
1763076884,-0.582,0.218,0.79,24.37
1763076884,-0.581,0.218,0.79,24.37
1763076884,-0.582,0.219,0.79,24.37
1763076884,-0.582,0.218,0.791,24.37
1763076884,-0.582,0.222,0.789,24.37
1763076884,-0.582,0.219,0.789,24.37
1763076884,-0.581,0.22,0.787,24.37
1763076884,-0.581,0.219,0.789,24.37
1763076884,-0.581,0.218,0.789,24.37
1763076884,-0.583,0.217,0.791,24.37
1763076884,-0.583,0.218,0.792,24.37
1763076884,-0.584,0.216,0.792,24.37
1763076884,-0.587,0.218,0.792,24.37
1763076884,-0.585,0.218,0.791,24.37
1763076884,-0.583,0.217,0.791,24.37
1763076885,-0.583,0.22,0.787,24.37
1763076885,-0.581,0.219,0.789,24.37
1763076885,-0.582,0.22,0.787,24.37
1763076885,-0.581,0.219,0.787,24.37
1763076885,-0.58,0.219,0.789,24.37
1763076885,-0.58,0.218,0.788,24.37
1763076885,-0.581,0.219,0.791,24.37
1763076885,-0.58,0.217,0.788,24.37
1763076885,-0.581,0.218,0.787,24.37
1763076885,-0.584,0.217,0.79,24.37
1763076885,-0.584,0.217,0.79,24.37
1763076885,-0.586,0.216,0.794,24.37
1763076885,-0.588,0.216,0.794,24.37
1763076885,-0.587,0.215,0.793,24.37
1763076885,-0.589,0.216,0.795,24.37
1763076885,-0.586,0.217,0.794,24.37
1763076885,-0.584,0.218,0.789,24.37
1763076885,-0.582,0.218,0.787,24.37
1763076885,-0.58,0.219,0.788,24.37
1763076885,-0.578,0.218,0.788,24.37
1763076885,-0.576,0.219,0.787,24.37
1763076885,-0.578,0.219,0.787,24.37
1763076885,-0.579,0.219,0.789,24.37
1763076885,-0.579,0.219,0.791,24.37
1763076885,-0.582,0.219,0.789,24.37
1763076885,-0.584,0.219,0.789,24.37
1763076885,-0.585,0.218,0.791,24.37
1763076885,-0.587,0.217,0.792,24.37
1763076885,-0.586,0.217,0.793,24.37
1763076885,-0.587,0.217,0.792,24.37
1763076885,-0.585,0.216,0.793,24.37
1763076885,-0.585,0.217,0.792,24.37
1763076885,-0.583,0.219,0.788,24.37
1763076885,-0.582,0.22,0.787,24.41
1763076885,-0.581,0.22,0.787,24.41
1763076885,-0.579,0.219,0.788,24.41
1763076885,-0.579,0.22,0.788,24.41
1763076885,-0.578,0.219,0.788,24.41
1763076885,-0.577,0.218,0.788,24.41
1763076885,-0.581,0.218,0.787,24.41
1763076885,-0.581,0.217,0.786,24.41
1763076885,-0.583,0.217,0.786,24.41
1763076885,-0.586,0.217,0.788,24.41
1763076885,-0.586,0.217,0.791,24.41
1763076885,-0.587,0.217,0.794,24.41
1763076885,-0.587,0.217,0.793,24.41
1763076885,-0.585,0.217,0.794,24.41
1763076885,-0.586,0.218,0.797,24.41
1763076885,-0.584,0.218,0.793,24.41
1763076885,-0.582,0.219,0.79,24.41
1763076885,-0.581,0.22,0.786,24.41
1763076885,-0.58,0.22,0.787,24.41
1763076885,-0.578,0.219,0.789,24.41
1763076885,-0.578,0.218,0.788,24.41
1763076885,-0.578,0.217,0.788,24.41
1763076885,-0.579,0.216,0.788,24.41
1763076885,-0.582,0.216,0.789,24.41
1763076885,-0.582,0.217,0.789,24.41
1763076885,-0.585,0.217,0.788,24.41
1763076885,-0.587,0.218,0.791,24.41
1763076885,-0.588,0.217,0.793,24.41
1763076885,-0.588,0.218,0.794,24.41
1763076885,-0.585,0.217,0.793,24.41
1763076885,-0.585,0.217,0.795,24.41
1763076885,-0.584,0.219,0.79,24.41
1763076885,-0.582,0.218,0.789,24.41
1763076885,-0.581,0.219,0.785,24.41
1763076885,-0.58,0.22,0.784,24.41
1763076885,-0.578,0.219,0.786,24.41
1763076885,-0.579,0.218,0.789,24.41
1763076885,-0.579,0.218,0.788,24.41
1763076885,-0.58,0.218,0.789,24.41
1763076885,-0.58,0.219,0.786,24.41
1763076885,-0.582,0.218,0.788,24.41
1763076885,-0.583,0.218,0.788,24.41
1763076885,-0.585,0.217,0.791,24.41
1763076885,-0.586,0.219,0.791,24.41
1763076885,-0.587,0.217,0.795,24.41
1763076885,-0.588,0.218,0.795,24.41
1763076885,-0.587,0.218,0.795,24.41
1763076886,-0.585,0.218,0.793,24.41
1763076886,-0.585,0.218,0.79,24.45
1763076886,-0.581,0.218,0.786,24.45
1763076886,-0.579,0.218,0.785,24.45
1763076886,-0.579,0.219,0.787,24.45
1763076886,-0.579,0.218,0.785,24.45
1763076886,-0.579,0.219,0.786,24.45
1763076886,-0.579,0.218,0.789,24.45
1763076886,-0.582,0.218,0.79,24.45
1763076886,-0.583,0.219,0.787,24.45
1763076886,-0.583,0.217,0.79,24.45
1763076886,-0.585,0.218,0.787,24.45
1763076886,-0.585,0.219,0.789,24.45
1763076886,-0.587,0.218,0.792,24.45
1763076886,-0.587,0.218,0.794,24.45
1763076886,-0.586,0.217,0.794,24.45
1763076886,-0.585,0.217,0.795,24.45
1763076886,-0.585,0.218,0.792,24.45
1763076886,-0.583,0.216,0.791,24.45
1763076886,-0.581,0.218,0.785,24.45
1763076886,-0.579,0.219,0.784,24.45
1763076886,-0.58,0.219,0.785,24.45
1763076886,-0.58,0.219,0.786,24.45
1763076886,-0.581,0.22,0.788,24.45
1763076886,-0.58,0.22,0.788,24.45
1763076886,-0.581,0.218,0.792,24.45
1763076886,-0.584,0.219,0.792,24.45
1763076886,-0.582,0.218,0.789,24.45
1763076886,-0.585,0.218,0.792,24.45
1763076886,-0.585,0.216,0.792,24.45
1763076886,-0.585,0.217,0.791,24.45
1763076886,-0.585,0.218,0.794,24.45
1763076886,-0.585,0.217,0.795,24.45
1763076886,-0.585,0.217,0.792,24.45
1763076886,-0.584,0.218,0.792,24.45
1763076886,-0.582,0.218,0.787,24.45
1763076886,-0.581,0.218,0.786,24.45
1763076886,-0.579,0.218,0.784,24.45
1763076886,-0.579,0.218,0.784,24.45
1763076886,-0.578,0.22,0.786,24.45
1763076886,-0.579,0.219,0.789,24.45
1763076886,-0.58,0.218,0.793,24.45
1763076886,-0.583,0.22,0.792,24.45
1763076886,-0.583,0.219,0.79,24.45
1763076886,-0.585,0.22,0.789,24.45
1763076886,-0.586,0.219,0.791,24.45
1763076886,-0.585,0.217,0.792,24.45
1763076886,-0.587,0.217,0.792,24.45
1763076886,-0.587,0.215,0.792,24.45
1763076886,-0.585,0.215,0.791,24.35
1763076886,-0.586,0.216,0.793,24.35
1763076886,-0.584,0.217,0.792,24.35
1763076886,-0.585,0.218,0.788,24.35
1763076886,-0.583,0.219,0.788,24.35
1763076886,-0.582,0.218,0.79,24.35
1763076886,-0.58,0.219,0.788,24.35
1763076886,-0.58,0.219,0.789,24.35
1763076886,-0.578,0.218,0.788,24.35
1763076886,-0.579,0.22,0.787,24.35
1763076886,-0.579,0.218,0.789,24.35
1763076886,-0.581,0.218,0.788,24.35
1763076886,-0.585,0.219,0.789,24.35
1763076886,-0.585,0.216,0.792,24.35
1763076886,-0.587,0.217,0.793,24.35
1763076886,-0.588,0.216,0.792,24.35
1763076886,-0.585,0.217,0.791,24.35
1763076886,-0.584,0.218,0.794,24.35
1763076886,-0.583,0.218,0.792,24.35
1763076886,-0.581,0.218,0.79,24.35
1763076886,-0.581,0.221,0.788,24.35
1763076886,-0.581,0.22,0.787,24.35
1763076886,-0.58,0.22,0.786,24.35
1763076886,-0.58,0.221,0.789,24.35
1763076886,-0.58,0.22,0.789,24.35
1763076886,-0.58,0.22,0.788,24.35
1763076886,-0.58,0.219,0.789,24.35
1763076886,-0.582,0.218,0.791,24.35
1763076886,-0.582,0.217,0.788,24.35
1763076886,-0.585,0.218,0.789,24.35
1763076886,-0.586,0.216,0.793,24.35
1763076886,-0.587,0.216,0.794,24.35
1763076886,-0.587,0.218,0.792,24.35
1763076886,-0.587,0.216,0.793,24.35
1763076886,-0.586,0.216,0.795,24.35
1763076886,-0.585,0.217,0.792,24.35
1763076886,-0.583,0.217,0.787,24.35
1763076887,-0.582,0.218,0.785,24.35
1763076887,-0.579,0.218,0.785,24.35
1763076887,-0.579,0.218,0.784,24.35
1763076887,-0.579,0.219,0.786,24.35
1763076887,-0.579,0.218,0.79,24.35
1763076887,-0.582,0.216,0.791,24.35
1763076887,-0.583,0.216,0.792,24.35
1763076887,-0.583,0.217,0.789,24.35
1763076887,-0.584,0.215,0.789,24.35
1763076887,-0.587,0.217,0.788,24.35
1763076887,-0.586,0.216,0.79,24.55
1763076887,-0.586,0.217,0.791,24.55
1763076887,-0.587,0.218,0.792,24.55
1763076887,-0.585,0.217,0.795,24.55
1763076887,-0.586,0.218,0.794,24.55
1763076887,-0.585,0.22,0.79,24.55
1763076887,-0.581,0.22,0.789,24.55
1763076887,-0.578,0.222,0.786,24.55
1763076887,-0.578,0.221,0.786,24.55
1763076887,-0.576,0.218,0.787,24.55
1763076887,-0.578,0.221,0.785,24.55
1763076887,-0.578,0.218,0.789,24.55
1763076887,-0.582,0.219,0.787,24.55
1763076887,-0.584,0.217,0.791,24.55
1763076887,-0.585,0.218,0.786,24.55
1763076887,-0.587,0.216,0.795,24.55
1763076887,-0.588,0.217,0.788,24.55
1763076887,-0.588,0.216,0.792,24.55
1763076887,-0.588,0.217,0.79,24.55
1763076887,-0.586,0.215,0.795,24.55
1763076887,-0.586,0.218,0.791,24.55
1763076887,-0.585,0.217,0.795,24.55
1763076887,-0.584,0.218,0.789,24.55
1763076887,-0.582,0.219,0.79,24.55
1763076887,-0.581,0.218,0.783,24.55
1763076887,-0.58,0.218,0.785,24.55
1763076887,-0.579,0.219,0.783,24.55
1763076887,-0.58,0.218,0.783,24.55
1763076887,-0.581,0.217,0.787,24.55
1763076887,-0.582,0.215,0.788,24.55
1763076887,-0.586,0.218,0.79,24.55
1763076887,-0.584,0.217,0.789,24.55
1763076887,-0.588,0.218,0.791,24.55
1763076887,-0.588,0.216,0.792,24.55
1763076887,-0.588,0.217,0.791,24.55
1763076887,-0.586,0.218,0.797,24.55
