timestamp,ax_g,ay_g,az_g,temp_C
1765931482.993751049,-0.077,-0.056,0.997,20.77
1765931482.994378090,-0.065,-0.045,1.007,20.85
1765931482.994799137,-0.076,-0.045,0.999,20.85
1765931482.995206833,-0.062,-0.023,1.005,20.95
1765931482.995625973,-0.002,-0.030,1.016,20.97
1765931483.012231827,-0.075,-0.043,0.996,20.97
1765931483.112141132,-0.073,-0.056,0.991,20.95
1765931483.212852955,-0.076,-0.066,1.016,20.99
1765931483.313679218,-0.043,-0.061,1.019,21.05
1765931483.415655851,-0.067,-0.044,0.999,21.05
1765931483.515483856,-0.075,-0.045,1.015,21.11
1765931483.615931988,-0.275,-0.065,0.893,21.03
1765931483.717082977,-0.090,-0.064,0.999,21.03
1765931483.818385839,-0.072,-0.049,1.005,21.01
1765931483.919642925,-0.072,-0.054,0.987,20.79
1765931484.021754026,-0.071,-0.024,0.885,20.79
1765931484.121234894,-0.073,-0.042,1.003,20.77
1765931484.222853184,-0.071,-0.037,1.009,20.81
1765931484.323799133,-0.073,-0.043,1.024,20.71
1765931484.424355030,0.006,-0.053,1.075,20.71
1765931484.525246859,-0.071,-0.058,1.009,20.91
1765931484.627407074,-0.076,-0.043,1.000,20.79
1765931484.727252007,-0.073,-0.042,0.998,20.79
1765931484.829586029,-0.079,-0.041,0.970,20.99
1765931484.929833889,-0.077,-0.035,0.994,20.99
1765931485.031567097,-0.070,-0.045,0.998,20.99
1765931485.132375956,-0.093,-0.058,0.991,21.05
1765931485.232217073,-0.089,-0.060,0.994,20.95
1765931485.334703207,-0.073,-0.046,1.015,20.97
1765931485.435386181,-0.078,-0.043,0.995,20.97
1765931485.536117077,0.088,-0.057,1.101,20.97
1765931485.636798859,-0.059,-0.038,0.996,20.95
1765931485.738017082,-0.070,-0.052,0.989,20.95
1765931485.839793921,-0.057,-0.057,1.020,20.83
1765931485.940171957,-0.141,-0.096,0.948,20.91
1765931486.041680813,-0.082,-0.049,1.006,20.91
1765931486.142073154,-0.074,-0.053,1.004,20.85
1765931486.243404150,-0.071,-0.022,1.007,20.83
1765931486.343908072,-0.101,-0.036,1.029,20.75
1765931486.445259094,-0.058,-0.051,1.000,20.75
1765931486.546105146,-0.068,-0.058,0.997,20.67
1765931486.647097111,-0.093,-0.043,0.963,20.79
1765931486.747592926,-0.087,-0.002,0.977,20.79
1765931486.849286795,-0.075,-0.042,1.012,20.79
1765931486.950083017,-0.074,-0.040,1.009,20.79
1765931487.051903009,0.142,0.318,1.242,20.79
1765931487.152538061,-0.041,-0.080,1.014,20.87
1765931487.253535986,-0.065,-0.053,1.006,20.95
1765931487.354722977,-0.074,-0.053,1.003,20.95
1765931487.455698013,-0.188,-0.122,0.826,20.83
1765931487.555483818,-0.091,-0.065,0.998,20.91
1765931487.657004118,-0.069,-0.047,0.997,20.75
1765931487.757902145,-0.071,-0.009,0.987,20.75
1765931487.858952045,-0.251,-0.053,1.003,20.79
1765931487.960635900,-0.085,-0.055,1.002,20.99
