timestamp,ax_g,ay_g,az_g,temp_C
1763504812.181627274,-0.001,1.013,0.063,35.93
1763504812.181627274,-0.010,1.012,0.077,35.99
1763504812.181627274,0.001,1.018,0.110,35.93
1763504812.181627274,0.017,1.026,0.079,35.93
1763504812.181627274,0.025,1.024,0.062,35.91
1763504812.199963570,0.033,1.019,0.103,35.93
1763504812.304055691,-0.008,1.004,0.080,35.93
1763504812.401164293,0.014,1.002,0.103,35.99
1763504812.503436327,-0.007,1.006,0.082,36.03
1763504812.606821299,0.007,0.998,0.075,36.05
1763504812.704586506,-0.009,1.009,0.071,36.05
1763504812.801840305,0.016,1.016,0.087,36.03
1763504812.904414654,0.013,1.010,0.064,36.03
1763504813.002938509,-0.025,1.003,0.055,36.03
1763504813.103263140,-0.043,0.978,0.060,35.89
1763504813.212718487,0.013,1.001,0.050,36.03
1763504813.308786392,0.029,1.002,0.082,35.97
1763504813.406059742,-0.019,1.009,0.038,35.97
1763504813.517737389,0.023,1.034,0.063,35.93
1763504813.613819122,-0.024,0.999,0.066,35.85
1763504813.709671736,0.014,1.007,0.077,35.85
1763504813.815871954,-0.052,1.004,0.070,35.97
1763504813.919427395,-0.022,0.988,0.078,35.97
1763504814.011879683,0.005,1.012,0.088,35.97
1763504814.119185925,-0.022,1.012,0.073,35.91
1763504814.224298239,-0.010,1.007,0.096,35.97
1763504814.315360069,0.001,1.009,0.085,36.01
1763504814.425068378,-0.017,0.998,0.082,36.01
1763504814.522442579,0.010,1.020,0.080,36.11
1763504814.621413708,0.040,1.013,0.050,35.93
1763504814.720946789,0.008,1.003,0.082,35.93
1763504814.824087143,0.006,1.000,0.035,35.99
1763504814.923739433,0.029,1.001,0.046,35.97
1763504815.027969837,0.018,1.002,0.094,35.95
1763504815.124551773,0.006,1.002,0.043,35.95
1763504815.229914904,-0.020,0.997,0.049,35.95
1763504815.330851316,0.001,1.015,0.063,35.95
1763504815.426390171,-0.017,1.002,0.080,35.95
1763504815.526825428,0.009,1.011,0.073,35.75
1763504815.628052473,-0.021,0.992,0.049,35.83
1763504815.733566523,0.016,1.025,0.080,35.87
1763504815.831232548,-0.011,1.002,0.080,35.87
1763504815.932777405,-0.010,0.997,0.080,35.99
1763504816.036586285,-0.011,0.997,0.063,35.97
1763504816.145643473,-0.011,1.002,0.100,35.97
1763504816.241883755,-0.004,1.000,0.038,35.85
1763504816.336393356,0.002,1.021,0.069,35.85
1763504816.442868471,-0.035,0.993,0.073,35.85
1763504816.539522886,-0.006,1.004,0.059,35.91
1763504816.644333839,-0.020,1.005,0.065,35.89
1763504816.743780851,-0.015,1.009,0.088,35.91
1763504816.842849255,-0.031,0.987,0.061,35.91
1763504816.961189747,-0.009,0.990,0.059,35.99
1763504817.043272495,-0.023,1.007,0.064,35.91
1763504817.141074181,0.059,1.035,0.073,35.91
1763504817.247949362,-0.008,0.992,0.073,35.97
1763504817.351662636,-0.003,1.014,0.066,35.97
1763504817.450258255,0.018,1.000,0.096,36.01
1763504817.546432018,-0.026,0.993,0.067,36.01
1763504817.653985739,-0.002,1.010,0.055,35.91
1763504817.757448912,0.006,1.020,0.080,35.89
1763504817.849179506,0.010,1.004,0.101,35.89
1763504817.952425241,-0.034,0.994,0.068,35.93
1763504818.056122065,-0.001,1.021,0.081,36.03
1763504818.150969744,-0.003,1.007,0.097,36.03
1763504818.254435778,0.015,1.015,0.076,35.97
1763504818.358062744,0.011,1.015,0.059,36.01
1763504818.461443186,-0.005,1.007,0.099,35.93
1763504818.571462631,0.004,1.006,0.063,35.93
1763504818.668396950,0.047,1.016,0.049,35.95
1763504818.764376879,0.012,1.006,0.089,35.91
1763504818.860145092,-0.014,1.001,0.084,35.91
1763504818.961064100,-0.001,1.011,0.065,35.89
1763504819.059444904,0.026,1.016,0.089,35.97
1763504819.163536787,0.018,1.011,0.064,36.11
1763504819.267181873,-0.016,1.012,0.046,36.11
1763504819.366534710,-0.004,1.006,0.073,36.15
1763504819.474088192,-0.000,1.025,0.102,35.97
1763504819.572910786,-0.002,1.009,0.091,35.97
1763504819.676097393,0.004,1.011,0.076,35.93
1763504819.769618750,0.022,1.007,0.087,35.99
1763504819.870292187,0.004,0.989,0.081,35.97
1763504819.973144770,0.022,1.007,0.096,35.97
1763504820.073655367,0.027,1.015,0.106,35.97
1763504820.177661180,-0.003,0.996,0.071,35.99
1763504820.278526306,0.003,1.001,0.082,35.99
1763504820.377300978,0.006,1.012,0.065,35.97
1763504820.479146481,0.005,1.017,0.055,35.97
1763504820.577539682,-0.001,1.015,0.072,35.97
1763504820.685931921,-0.004,1.012,0.057,36.01
1763504820.780497313,-0.022,1.005,0.110,36.05
1763504820.879146814,-0.028,1.004,0.067,36.05
1763504820.988169670,-0.023,1.014,0.071,36.05
1763504821.086433172,0.009,0.987,0.086,36.11
1763504821.182861805,-0.013,1.003,0.065,35.95
1763504821.283977270,0.005,1.010,0.078,35.95
1763504821.394464731,0.005,1.015,0.072,35.99
1763504821.485767603,0.015,0.996,0.089,36.03
1763504821.594571590,-0.040,0.980,0.049,35.91
1763504821.691258669,0.014,1.009,0.041,35.91
1763504821.792949915,0.027,1.010,0.091,36.01
1763504821.892194510,0.029,1.014,0.072,35.99
1763504821.993824482,0.015,1.016,0.067,35.99
1763504822.092825651,-0.002,1.011,0.033,36.01
1763504822.200316429,-0.019,1.004,0.096,36.09
1763504822.304515362,0.003,1.005,0.059,36.09
1763504822.400124788,0.001,1.007,0.050,36.03
1763504822.502138853,-0.028,0.988,0.096,36.11
1763504822.599931717,-0.013,1.017,0.067,36.01
1763504822.703596830,-0.036,1.007,0.044,36.01
1763504822.798629045,-0.023,0.998,0.079,36.07
1763504822.903455496,0.011,1.010,0.085,36.07
1763504823.006469011,0.003,1.014,0.058,36.07
1763504823.103420019,-0.033,1.003,0.085,36.01
1763504823.208213806,-0.008,0.996,0.069,36.05
1763504823.304395437,0.016,1.011,0.062,36.01
1763504823.405504942,-0.015,0.993,0.060,36.01
1763504823.511073589,0.008,1.005,0.060,35.95
1763504823.606022358,-0.013,1.005,0.061,35.99
1763504823.714019537,-0.050,0.999,0.053,35.99
1763504823.811978817,-0.017,1.001,0.050,35.93
1763504823.908657312,0.002,1.019,0.094,35.89
1763504824.016965151,-0.002,1.009,0.076,35.93
1763504824.110940933,-0.038,1.002,0.068,35.93
1763504824.211912155,-0.018,0.987,0.076,36.09
1763504824.316674232,-0.011,1.008,0.075,35.99
1763504824.418288469,0.013,1.002,0.076,35.99
1763504824.516881466,-0.010,0.991,0.059,36.01
1763504824.616768837,-0.006,1.012,0.076,36.03
1763504824.720860481,0.033,0.990,0.066,36.03
1763504824.826245785,-0.010,1.020,0.095,36.05
1763504824.920570850,0.042,1.020,0.058,36.15
1763504825.022814751,-0.018,1.012,0.058,36.05
1763504825.127807140,0.000,1.005,0.072,36.05
1763504825.223051071,-0.071,0.975,0.053,35.85
1763504825.328891754,-0.001,0.995,0.056,35.91
1763504825.430369854,0.014,1.018,0.071,35.91
1763504825.532284260,-0.014,1.002,0.059,35.77
1763504825.630945444,0.009,1.004,0.087,35.95
1763504825.733311892,-0.013,0.992,0.050,35.95
1763504825.829926491,-0.011,0.987,0.052,35.95
1763504825.940449238,-0.016,0.993,0.061,35.95
1763504826.030089140,0.012,1.010,0.057,35.95
1763504826.130537271,0.013,1.006,0.047,35.95
1763504826.235460281,-0.013,1.008,0.081,36.07
1763504826.332656622,0.002,0.990,0.078,35.97
1763504826.439131975,0.019,1.017,0.050,35.97
1763504826.537875891,-0.033,1.008,0.089,36.09
1763504826.634960175,-0.016,1.006,0.076,35.95
1763504826.738362312,-0.023,0.980,0.056,35.99
1763504826.850650072,-0.005,1.008,0.073,35.99
1763504826.951014757,-0.002,1.012,0.047,35.85
1763504827.048195124,0.004,1.025,0.090,35.87
1763504827.140647650,-0.024,1.001,0.068,35.87
1763504827.249870300,0.004,1.009,0.102,36.01
1763504827.342683315,0.036,1.019,0.065,36.05
1763504827.453692675,0.008,1.015,0.074,36.03
1763504827.556161880,0.010,1.005,0.058,36.03
1763504827.647746086,-0.020,1.002,0.071,35.91
1763504827.753868341,0.017,1.012,0.078,35.89
1763504827.848731279,-0.004,1.006,0.083,35.89
1763504827.951368093,0.009,1.008,0.059,35.87
1763504828.054451227,-0.011,1.016,0.064,35.91
1763504828.151525021,-0.031,1.005,0.058,35.89
1763504828.262701750,-0.005,1.012,0.094,35.89
1763504828.362153292,0.008,1.013,0.097,35.95
1763504828.461719513,0.017,1.017,0.071,36.03
1763504828.560206652,-0.003,1.003,0.102,36.03
1763504828.659973621,0.007,1.011,0.091,36.03
1763504828.762306213,-0.006,1.010,0.071,35.91
1763504828.862841606,0.037,1.000,0.070,35.91
1763504828.959920645,-0.012,0.993,0.072,35.89
1763504829.060500383,-0.005,0.998,0.058,36.05
1763504829.163663864,-0.018,0.992,0.061,36.09
1763504829.278934240,0.006,1.017,0.062,36.09
1763504829.370836973,-0.014,1.003,0.064,35.99
1763504829.467792988,-0.018,1.009,0.054,36.01
1763504829.574299335,-0.014,1.005,0.064,36.01
1763504829.672902822,-0.012,1.002,0.066,36.07
1763504829.775170803,-0.016,1.023,0.091,35.89
1763504829.875177145,0.009,1.000,0.078,35.97
1763504829.976213455,0.005,1.005,0.084,35.97
1763504830.075036764,-0.018,1.004,0.069,36.05
1763504830.175110102,0.021,1.013,0.097,36.13
1763504830.278653622,0.003,1.010,0.081,36.13
1763504830.375075579,0.026,1.013,0.062,35.97
1763504830.484200716,-0.023,0.998,0.077,36.01
1763504830.575529575,0.009,0.993,0.048,36.01
1763504830.684839725,0.018,1.023,0.102,35.95
1763504830.784248352,0.009,1.012,0.061,35.91
1763504830.876528740,-0.002,0.988,0.055,35.99
1763504830.986575603,-0.010,1.009,0.058,35.99
1763504831.091321707,-0.010,0.996,0.069,36.05
1763504831.182157516,-0.004,1.001,0.037,36.03
1763504831.284859896,-0.004,1.003,0.059,36.03
1763504831.386080742,-0.020,0.995,0.071,36.03
1763504831.484315157,0.004,0.997,0.062,36.03
1763504831.593240261,-0.011,1.010,0.080,35.99
1763504831.696166515,-0.005,0.994,0.058,35.99
1763504831.793047190,0.008,1.011,0.069,36.17
1763504831.888664246,0.010,1.015,0.077,36.19
1763504831.993472099,0.007,1.007,0.081,36.19
1763504832.090082645,0.003,1.004,0.059,36.05
1763504832.200077295,0.001,1.002,0.068,36.01
1763504832.291269779,-0.003,1.010,0.123,35.99
1763504832.392920256,0.006,1.004,0.092,35.99
1763504832.497055292,-0.001,1.001,0.077,36.11
1763504832.598091125,-0.007,1.000,0.079,36.07
1763504832.697247505,0.002,1.006,0.081,36.07
1763504832.806823254,-0.006,0.996,0.049,35.97
1763504832.896831512,-0.010,0.990,0.026,35.95
1763504833.001127481,-0.002,1.014,0.094,35.95
1763504833.101971388,0.005,1.011,0.067,35.99
1763504833.204517841,-0.030,0.994,0.060,36.01
1763504833.303428888,0.000,1.001,0.016,35.95
1763504833.404557705,-0.020,1.025,0.030,35.95
1763504833.504638910,-0.023,0.997,0.046,35.89
1763504833.606436491,-0.022,1.004,0.071,36.01
1763504833.708084583,-0.003,1.014,0.065,36.01
1763504833.813254833,-0.003,1.004,0.093,36.07
1763504833.908352852,-0.018,0.986,0.059,36.11
1763504834.013217688,-0.007,1.003,0.095,36.11
1763504834.110099316,-0.034,1.002,0.091,36.11
1763504834.222094297,-0.003,1.010,0.077,35.95
1763504834.310065269,-0.006,0.986,0.069,35.89
1763504834.417571783,0.019,1.001,0.042,35.89
1763504834.514626026,-0.020,0.999,0.053,35.99
1763504834.618643045,0.019,1.009,0.067,35.93
1763504834.720747471,0.012,1.019,0.064,35.75
1763504834.823829651,0.033,1.027,0.036,35.75
1763504834.927058458,-0.030,1.000,0.041,35.87
1763504835.018986464,-0.024,0.990,0.060,35.85
1763504835.121946096,-0.025,0.975,0.053,35.85
1763504835.220108271,0.021,1.008,0.057,35.83
1763504835.325539589,-0.018,1.022,0.081,35.97
1763504835.430561066,-0.010,0.979,0.056,35.97
1763504835.532597780,-0.001,1.008,0.061,36.11
1763504835.628867865,-0.001,1.000,0.074,36.11
1763504835.734290361,-0.000,1.002,0.067,36.03
1763504835.826098204,0.001,1.011,0.050,36.03
1763504835.927989483,-0.018,1.011,0.080,36.09
1763504836.035248756,-0.017,0.994,0.085,36.05
1763504836.136455774,-0.015,1.004,0.060,36.05
1763504836.242216587,-0.008,0.995,0.070,36.09
1763504836.344196796,-0.018,0.996,0.069,36.03
1763504836.434131861,-0.023,1.006,0.076,36.05
1763504836.542746782,0.003,1.003,0.053,36.05
1763504836.641946554,-0.019,0.989,0.052,36.03
1763504836.737911701,0.009,0.995,0.046,35.99
1763504836.843340874,-0.003,1.002,0.066,35.99
1763504836.938640356,-0.013,0.980,0.029,36.03
1763504837.040807724,-0.048,0.985,0.031,36.13
1763504837.139324903,-0.052,0.981,0.018,36.13
1763504837.242313147,-0.032,0.987,0.082,36.13
1763504837.344111919,0.009,0.998,0.034,36.11
1763504837.447992563,-0.016,0.975,0.065,36.03
1763504837.549595118,0.002,0.998,0.068,36.03
1763504837.656158924,-0.000,1.001,0.056,35.95
1763504837.751739502,-0.016,1.006,0.076,35.95
1763504837.852980137,-0.043,1.001,0.131,35.95
1763504837.947135448,0.017,1.001,0.068,35.95
1763504838.053312540,0.001,0.986,0.081,35.99
1763504838.156872988,0.022,1.000,0.076,35.97
1763504838.258200884,-0.003,0.998,0.056,35.97
1763504838.361302614,0.014,1.011,0.060,36.01
1763504838.452830315,0.035,1.015,0.043,36.07
1763504838.563499928,-0.014,1.004,0.053,36.07
1763504838.664282799,0.009,1.000,0.061,36.01
1763504838.765256405,-0.008,1.012,0.074,35.99
1763504838.866779327,-0.019,1.010,0.079,35.99
1763504838.963416338,-0.018,1.004,0.067,35.99
1763504839.064251184,-0.032,1.001,0.069,35.89
1763504839.160779476,-0.005,1.002,0.086,35.97
1763504839.270169973,0.019,1.020,0.086,35.97
1763504839.363068581,0.016,1.018,0.079,36.13
1763504839.466648340,-0.002,1.011,0.086,36.13
1763504839.572978973,0.009,1.012,0.055,36.13
1763504839.670971870,-0.007,1.014,0.090,35.99
1763504839.774079323,-0.015,1.015,0.086,35.93
1763504839.873178720,-0.000,1.013,0.053,35.95
1763504839.970086813,-0.021,1.006,0.091,35.95
1763504840.085359097,-0.012,1.022,0.107,36.11
1763504840.174818277,0.022,1.002,0.074,36.13
1763504840.280131578,0.014,1.016,0.059,36.13
1763504840.375366449,0.002,0.995,0.088,36.09
1763504840.472654819,0.002,1.000,0.046,36.21
1763504840.580035686,-0.001,1.014,0.092,36.13
1763504840.682403088,-0.016,1.018,0.080,36.13
1763504840.780033827,0.016,1.004,0.060,35.99
1763504840.882323980,-0.002,1.006,0.078,35.97
1763504840.979169846,-0.003,1.010,0.069,35.97
1763504841.094426870,-0.015,1.002,0.077,36.01
1763504841.188483477,0.040,1.030,0.081,36.09
1763504841.283573151,0.025,1.040,0.096,36.07
1763504841.381991148,0.006,1.017,0.091,36.07
1763504841.483090162,0.000,1.003,0.060,36.23
1763504841.585738897,0.048,1.026,0.095,36.09
