timestamp,ax_g,ay_g,az_g,temp_C
1763505639,-0.032,1.001,0.057,36.17
1763505639,-0.017,1.005,0.042,36.05
1763505639,-0.065,1.013,0.068,36.09
1763505639,-0.049,1.011,0.079,36.09
1763505639,-0.055,1.004,-0.004,36.15
1763505639,-0.049,1.011,0.102,36.17
1763505639,-0.077,0.986,0.071,36.33
1763505639,-0.072,0.991,0.097,36.33
1763505639,-0.101,0.994,0.065,36.23
1763505639,-0.056,0.996,0.032,36.17
1763505639,-0.042,0.996,0.06,36.17
1763505639,-0.064,0.992,0.072,36.19
1763505639,-0.049,1.016,0.096,36.17
1763505639,-0.04,1.007,0.063,36.21
1763505640,-0.03,1.011,0.055,36.21
1763505640,-0.035,1.025,0.069,36.29
1763505640,-0.066,0.995,0.053,36.21
1763505640,-0.046,0.992,0.044,36.21
1763505640,-0.031,1.011,0.065,36.29
1763505640,-0.022,1.009,0.046,36.19
1763505640,-0.02,1.014,0.076,36.15
1763505640,-0.061,0.989,0.037,36.15
1763505640,-0.042,1.026,0.071,36.19
1763505640,-0.09,0.979,0.017,36.23
1763505641,-0.071,1.009,0.071,36.23
1763505641,-0.039,1.015,0.124,36.29
1763505641,-0.06,1.005,0.043,36.25
1763505641,-0.038,1.032,0.081,36.31
1763505641,-0.032,0.983,0.036,36.31
1763505641,-0.038,1.004,0.039,36.29
1763505641,-0.007,1.018,0.091,36.21
1763505641,-0.032,0.991,0.073,36.21
1763505641,-0.04,1.013,0.074,36.17
1763505641,-0.038,0.987,0.039,36.27
1763505642,-0.067,1.012,0.087,36.27
1763505642,-0.053,1.014,0.055,36.17
1763505642,-0.045,1.001,0.073,36.27
1763505642,-0.108,0.967,0.097,36.33
1763505642,-0.038,0.998,0.085,36.33
1763505642,-0.011,0.997,0.104,36.29
1763505642,-0.032,1.005,0.074,36.17
1763505642,-0.055,1.019,0.102,36.17
1763505642,-0.013,0.986,0.053,36.19
1763505642,-0.026,1.023,0.115,36.19
1763505643,-0.014,1.007,0.083,36.19
1763505643,-0.031,0.999,0.028,36.19
1763505643,-0.025,1.011,0.061,36.33
1763505643,-0.03,1.009,0.074,36.33
1763505643,-0.052,1.022,0.083,36.33
1763505643,-0.017,1.014,0.058,36.23
1763505643,0.002,1.034,0.066,36.29
1763505643,-0.014,1.013,0.069,36.21
1763505643,-0.034,1.004,0.076,36.21
1763505644,-0.047,1.025,0.087,36.17
1763505644,-0.085,0.99,0.103,36.13
1763505644,-0.058,0.99,0.08,36.13
1763505644,-0.073,1.005,0.072,36.17
1763505644,-0.075,0.995,0.052,36.13
1763505644,-0.03,1.029,0.114,36.17
1763505644,-0.059,1.001,0.05,36.17
1763505644,-0.027,1.005,0.033,36.19
1763505644,-0.053,1.022,0.094,36.21
1763505644,-0.079,0.981,0.064,36.21
1763505645,-0.058,0.971,0.069,36.21
1763505645,-0.061,1.007,0.018,36.09
1763505645,-0.081,0.994,0.026,36.07
1763505645,-0.062,0.984,0.059,36.07
1763505645,-0.093,0.997,0.081,36.19
1763505645,-0.04,0.989,0.101,36.09
1763505645,-0.021,0.997,0.054,36.09
1763505645,-0.044,1.016,0.081,36.11
1763505645,-0.055,0.968,0.073,36.11
1763505645,-0.007,1.029,0.056,36.11
1763505646,-0.036,0.999,0.125,36.25
1763505646,-0.082,0.968,0.008,36.27
1763505646,-0.032,1.01,0.054,36.27
1763505646,-0.005,1.022,0.077,36.27
1763505646,-0.036,0.989,0.063,36.23
1763505646,-0.021,1.002,0.061,36.17
1763505646,-0.044,1.034,0.092,36.17
1763505646,-0.032,0.996,0.087,36.11
1763505646,-0.05,0.986,0.045,36.05
1763505646,-0.069,1.013,0.06,36.15
1763505647,-0.025,1.001,0.064,36.15
1763505647,-0.045,1.003,0.098,36.17
1763505647,-0.081,0.971,0.031,36.25
1763505647,-0.057,1.002,0.055,36.25
1763505647,-0.051,0.998,0.083,36.33
1763505647,-0.074,0.992,0.092,36.29
1763505647,-0.057,1,0.061,36.45
1763505647,-0.021,1.007,0.04,36.45
1763505647,0.021,1.02,0.081,36.37
1763505647,-0.048,1.014,0.096,36.45
1763505648,-0.073,1.01,0.058,36.45
1763505648,-0.067,1.002,0.024,36.21
1763505648,-0.057,0.996,0.046,36.29
1763505648,-0.024,1.027,0.074,36.25
1763505648,-0.049,0.999,0.096,36.25
1763505648,-0.037,1,0.017,36.17
1763505648,-0.027,1.006,0.048,36.11
1763505648,-0.056,0.993,0.073,36.11
1763505648,-0.058,1.022,0.104,36.13
1763505648,-0.032,1.015,0.066,36.09
1763505649,-0.032,1.002,0.055,36.09
1763505649,-0.017,0.987,0.066,36.13
1763505649,-0.041,1.014,0.051,35.99
1763505649,-0.048,1.028,0.068,36.07
1763505649,0.019,1.044,0.073,36.07
1763505649,-0.016,1.024,0.05,36.07
1763505649,-0.076,0.972,0.064,36.03
1763505649,0,1.023,0.042,36.03
1763505649,-0.017,1.037,0.071,35.99
1763505649,-0.041,1.014,0.075,36.09
1763505650,-0.017,0.993,0.052,36.07
1763505650,-0.045,0.982,0.079,36.07
1763505650,-0.046,0.995,0.092,36.19
1763505650,-0.02,1.019,0.089,36.19
1763505650,-0.086,1.006,0.082,36.19
1763505650,-0.045,0.998,0.051,36.21
1763505650,-0.058,0.991,0.045,36.19
1763505650,-0.071,0.98,0.072,36.03
1763505650,-0.048,1.018,0.052,36.03
1763505650,-0.061,1.012,0.107,36.03
1763505651,-0.026,1.005,0.048,36.03
1763505651,-0.036,1,0.048,36.03
1763505651,-0.012,1.021,0.069,36.11
1763505651,-0.027,1.007,0.089,36.11
1763505651,-0.058,1.004,0.061,36.15
1763505651,-0.084,0.998,0.032,36.15
1763505651,-0.081,0.976,0.048,36.09
1763505651,-0.012,1.026,0.07,35.99
1763505651,0.009,1.033,0.082,35.99
1763505651,-0.061,0.987,0.102,35.97
1763505652,-0.031,1.019,0.088,36.05
1763505652,-0.051,1.003,0.041,36.15
1763505652,-0.039,1.027,0.09,36.15
1763505652,-0.033,0.966,0.056,36.11
1763505652,0.04,1.019,0.012,36.19
1763505652,-0.054,1.033,0.096,36.19
1763505652,-0.054,1.012,0.085,36.17
1763505652,-0.019,1.009,0.067,36.15
1763505652,-0.037,1.012,0.053,36.15
1763505652,-0.083,0.993,0.052,36.17
1763505653,-0.014,1.03,0.084,36.01
1763505653,-0.054,0.991,0.063,36.09
1763505653,-0.04,1.017,0.085,36.09
1763505653,-0.034,1.005,0.092,36.07
1763505653,-0.03,0.993,0.073,36.21
1763505653,-0.05,1.007,0.087,36.21
1763505653,-0.037,1.011,0.046,36.17
1763505653,-0.065,0.997,0.041,36.23
1763505653,-0.074,0.987,0.074,36.25
1763505654,-0.04,0.988,0.07,36.25
1763505654,-0.084,1.002,0.07,36.25
1763505654,-0.087,0.957,0.026,36.11
1763505654,-0.025,1.003,0.083,36.11
1763505654,-0.047,1.001,0.057,36.23
1763505654,-0.064,1.002,0.103,36.23
1763505654,-0.045,1.007,0.035,36.29
1763505654,-0.018,1.009,0.096,36.29
1763505654,-0.031,1.019,0.074,36.39
1763505654,-0.072,1.014,0.046,36.17
1763505655,-0.021,1.031,0.049,36.17
1763505655,-0.051,0.988,0.029,36.23
1763505655,-0.063,0.987,0.064,36.09
1763505655,-0.038,0.993,0.058,36.03
1763505655,-0.022,1.038,0.061,36.03
1763505655,-0.054,1.01,0.066,36.15
1763505655,-0.011,1.016,0.077,36.15
1763505655,-0.035,0.99,0.058,36.15
1763505655,-0.037,1.029,0.044,36.21
1763505655,-0.005,1.006,0.048,36.17
1763505656,-0.041,1.006,0.062,36.17
1763505656,-0.039,0.981,0.031,36.07
1763505656,-0.088,1.023,0.104,36.21
1763505656,-0.048,1.002,0.114,36.29
1763505656,-0.043,0.998,0.057,36.29
1763505656,-0.043,1.005,0.06,36.13
1763505656,-0.055,1.017,0.061,36.03
1763505656,-0.053,1.011,0.096,36.03
1763505656,-0.058,1.009,0.096,36.07
1763505656,-0.059,0.992,0.059,36.17
1763505657,-0.038,1.007,0.084,36.11
1763505657,-0.079,0.98,0.048,36.11
1763505657,-0.04,0.995,0.08,36.27
1763505657,-0.097,0.981,0.062,36.21
1763505657,-0.058,0.995,0.062,36.21
1763505657,-0.039,1.009,0.046,36.33
1763505657,-0.004,1.019,0.037,36.27
1763505657,-0.024,1.019,0.068,36.23
1763505657,-0.039,1.024,0.112,36.23
1763505657,-0.025,0.992,0.02,36.21
1763505658,-0.108,0.971,0.085,36.09
1763505658,-0.08,0.983,0.068,36.09
1763505658,-0.046,1.002,0.079,36.07
1763505658,-0.032,0.986,0.031,36.11
1763505658,-0.021,1.009,0.063,36.15
1763505658,-0.087,0.977,0.136,36.15
1763505658,-0.047,1.005,0.071,36.21
1763505658,-0.015,1.025,0.08,36.13
1763505658,-0.042,0.977,0.053,36.13
1763505658,-0.022,1.044,0.07,36.13
1763505659,-0.04,1.004,0.039,36.17
1763505659,-0.073,1.01,0.038,36.17
1763505659,-0.059,1.022,0.087,36.15
1763505659,-0.067,0.972,0.025,36.11
1763505659,-0.036,0.998,0.094,36.23
1763505659,-0.073,1.004,0.088,36.23
1763505659,-0.058,1.013,0.053,36.29
1763505659,-0.053,1.001,0.057,36.05
1763505659,-0.106,0.98,0.062,36.05
1763505659,-0.054,1.013,0.058,36.25
1763505660,-0.062,0.971,0.052,36.19
1763505660,-0.069,1.017,0.064,36.23
1763505660,-0.067,1.004,0.086,36.23
1763505660,-0.057,1.003,0.069,36.35
1763505660,-0.043,0.995,0.061,36.25
1763505660,-0.037,1.019,0.073,36.25
1763505660,-0.068,1.007,0.037,36.03
1763505660,-0.053,0.99,0.047,36.09
1763505660,-0.005,1.032,0.109,36.07
1763505660,-0.023,1.02,0.063,36.07
1763505661,-0.051,1.013,0.06,36.09
1763505661,-0.05,1.022,0.102,36.07
1763505661,-0.048,1.012,0.083,36.07
1763505661,-0.063,0.962,0.056,36.15
1763505661,-0.073,0.989,0.038,36.05
1763505661,-0.048,0.993,0.062,36.09
1763505661,-0.021,1.015,0.084,36.09
1763505661,-0.042,1.025,0.124,36.27
1763505661,-0.039,1.027,0.085,36.19
1763505661,0.036,1.027,0.047,36.19
1763505662,-0.022,1.001,0.056,36.13
1763505662,-0.023,1.038,0.121,36.17
1763505662,-0.021,1.027,0.1,36.15
1763505662,-0.075,0.978,0.055,36.15
1763505662,-0.051,1.002,0.069,36.09
1763505662,-0.069,0.983,0.026,36.07
1763505662,-0.04,0.989,0.088,36.07
1763505662,-0.11,0.994,0.108,36.01
1763505662,-0.064,0.982,0.083,35.99
1763505662,-0.078,0.972,0.059,35.99
1763505663,-0.042,1.011,0.06,36.03
1763505663,-0.039,1.008,0.074,36.17
1763505663,-0.03,1.009,0.072,36.03
1763505663,-0.084,0.984,0.069,36.03
1763505663,-0.047,1.01,0.068,35.99
1763505663,-0.041,1,0.074,36.05
1763505663,-0.07,1.004,0.053,36.05
1763505663,-0.08,0.991,0.072,36.15
1763505663,-0.031,1.011,0.083,36.25
1763505664,-0.024,1.012,0.095,36.09
1763505664,0.012,1.004,0.083,36.09
1763505664,0.003,1.031,0.07,36.27
1763505664,-0.053,1.012,0.041,36.17
1763505664,-0.029,1.007,0.077,36.17
1763505664,-0.005,1.006,0.06,36.11
1763505664,-0.026,1.005,0.022,36.11
1763505664,-0.049,0.998,0.077,36.21
1763505664,-0.047,1.003,0.087,36.21
1763505664,-0.036,0.983,0.043,36.05
1763505665,-0.056,1.004,0.065,36.09
1763505665,-0.016,1.013,0.077,36.09
1763505665,0.046,1.033,0.078,36.01
1763505665,-0.054,0.997,0.052,36.17
1763505665,-0.049,0.995,0.071,36.09
1763505665,-0.036,0.987,0.037,36.09
1763505665,-0.042,1.009,0.026,36.03
1763505665,-0.035,1.022,0.058,36.13
1763505665,-0.052,1.004,0.05,36.13
1763505665,-0.047,1.009,0.068,36.13
1763505666,-0.071,0.984,0.041,35.99
1763505666,-0.047,1.019,0.054,35.99
1763505666,-0.072,1,0.048,35.97
1763505666,-0.025,0.992,0.056,36.01
1763505666,-0.051,1.005,0.107,36.07
1763505666,-0.058,0.994,0.056,36.07
1763505666,-0.068,1.013,0.071,36.09
1763505666,-0.033,1.003,0.046,36.03
1763505666,-0.043,0.993,0.081,36.03
1763505666,-0.07,1.001,0.052,36.03
1763505667,-0.052,1,0.06,35.99
1763505667,-0.01,1.029,0.093,36.15
1763505667,-0.035,1.01,0.051,36.15
1763505667,-0.057,0.988,0.078,36.03
1763505667,-0.017,1.004,0.071,36.13
1763505667,-0.039,1.003,0.055,36.13
1763505667,-0.032,1.015,0.105,36.05
1763505667,0.003,1,0.025,36.09
1763505667,-0.015,1.011,0.068,36.19
1763505667,-0.06,0.986,0.085,36.19
1763505668,-0.026,0.996,0.066,36.11
1763505668,-0.09,0.994,0.062,36.11
1763505668,-0.031,1.011,0.078,36.11
1763505668,-0.012,0.986,0.04,35.91
1763505668,-0.058,1.009,0.05,35.97
1763505668,-0.014,1.002,0.052,36.09
1763505668,-0.013,1.052,0.085,36.09
1763505668,-0.041,1.012,0.054,36.13
1763505668,-0.04,0.997,0.036,36.13
1763505668,-0.039,1,0.06,36.13
1763505669,-0.006,1.003,0.033,36.03
1763505669,-0.054,1.029,0.072,36.07
1763505669,-0.024,1.019,0.104,36.07
1763505669,-0.097,0.963,0.068,35.99
1763505669,-0.052,1.026,0.073,35.97
1763505669,-0.074,0.992,0.078,36.09
1763505669,-0.073,1.015,0.069,36.09
1763505669,-0.056,1.007,0.066,36.07
1763505669,-0.052,0.977,0.047,36.11
1763505669,-0.077,0.984,0.041,36.11
1763505670,-0.066,0.986,0.036,36.11
1763505670,-0.071,1.014,0.087,36.33
1763505670,-0.069,0.996,0.039,36.19
1763505670,-0.084,0.964,0.051,36.19
1763505670,-0.084,0.981,0.06,36.11
1763505670,-0.005,1.028,0.073,36.05
1763505670,-0.042,1,0.031,36.05
1763505670,-0.029,1.026,0.106,36.03
1763505670,-0.047,0.995,0.082,36.03
